Used,Location,,Possible,
https://github.com/Starwort/SPLIWACA ,Basically Everywhere,,https://www.researchgate.net/publication/303348270_On_source-to-source_compilers,
https://en.wikipedia.org/wiki/Compiler,,,https://www.youtube.com/channel/UCUVahoidFA7F3Asfvamrm7w,
,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.735.4640&rep=rep1&type=pdf,
,,,https://www.youtube.com/watch?v=QXjU9qTsYCc&safe=active,
,,,http://hjemmesider.diku.dk/~torbenm/Basics/basics_lulu2.pdf,
,,,https://en.wikipedia.org/wiki/Flex_(lexical_analyser_generator),
,,,https://github.com/westes/flex/blob/master/doc/flex.texi,
,,,https://en.wikipedia.org/wiki/Semantic_analysis_(linguistics),
,,,https://www.regular-expressions.info/,
,,,https://en.wikipedia.org/wiki/Regular_expression,
,,,https://www.tutorialspoint.com/compiler_design/compiler_design_architecture.htm,
,,,https://en.cppreference.com/w/cpp/regex/regex_match,
,,,https://en.cppreference.com/w/cpp/regex/regex_search,
,,,https://stackoverflow.com/questions/9952761/how-much-does-the-default-destructor-do,Token.cpp/.h
,,,https://stackoverflow.com/questions/120876/what-are-the-rules-for-calling-the-superclass-constructor,Token.cpp/.h
,,,http://www.cplusplus.com/doc/tutorial/files/,Lexer.cpp
,,,http://www.cplusplus.com/reference/string/string/copy/,Lexer.cpp
,,,http://www.cplusplus.com/reference/regex/match_results/suffix/,
,,,https://docs.microsoft.com/en-us/cpp/standard-library/overloading-the-output-operator-for-your-own-classes?view=vs-2019,Token.h
,,,https://stackoverflow.com/questions/5590381/easiest-way-to-convert-int-to-string-in-c,
